Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C404,50.969,30.541,46.400,88.052,136.382,40.431,64.855
C405,51.508,30.055,46.673,88.045,135.589,40.798,64.871
C406,52.048,29.569,46.946,88.038,134.797,41.166,64.886
C407,52.587,29.082,47.219,88.031,134.004,41.534,64.902
C408,53.126,28.596,47.492,88.024,133.211,41.902,64.917
C409,53.666,28.110,47.765,88.017,132.418,42.270,64.933
C410,54.205,27.624,48.038,88.010,131.625,42.638,64.948
C411,54.744,27.138,48.311,88.003,130.832,43.006,64.964
C412,55.283,26.652,48.584,87.996,130.039,43.374,64.980
C413,55.823,26.165,48.857,87.989,129.247,43.742,64.995
C414,56.362,25.679,49.130,87.982,128.454,44.110,65.011
C415,56.901,25.193,49.403,87.975,127.661,44.477,65.026
C416,57.441,24.707,49.676,87.968,126.868,44.845,65.042
C417,57.980,24.221,49.949,87.961,126.075,45.213,65.057
C418,58.519,23.735,50.222,87.954,125.282,45.581,65.073
C419,59.059,23.248,50.495,87.947,124.489,45.949,65.088
C420,59.598,22.762,50.768,87.940,123.696,46.317,65.104
C421,60.038,22.276,51.041,87.933,122.904,46.685,65.119
C422,60.137,21.939,51.314,87.925,122.111,47.053,65.135
C423,60.235,21.620,51.586,87.918,121.318,47.421,65.150
C424,60.333,21.302,51.859,87.911,120.525,47.789,65.166
C425,60.432,20.983,52.132,87.904,119.732,48.156,65.182
C426,60.530,20.664,52.405,87.897,118.939,48.524,65.197
C427,60.628,20.346,52.678,87.890,118.146,48.892,65.213
C428,60.727,20.027,52.951,87.883,117.353,49.260,65.228
C429,60.825,19.708,53.224,87.876,116.561,49.628,65.244
C430,60.923,19.390,53.497,87.869,115.768,49.996,65.259
C431,61.022,19.071,53.770,87.862,114.975,50.364,65.275
C432,61.120,18.752,54.043,87.855,114.182,50.732,65.290
C433,61.219,18.434,54.316,87.848,113.389,51.100,65.306
C434,61.317,18.115,54.589,87.841,112.596,51.467,65.321
C435,61.415,17.796,54.862,87.834,111.803,51.835,65.337
C436,61.514,17.477,55.135,87.827,111.011,52.203,65.352
